latitude,longitude,estado,bioma,mes,temperatura_media,umidade_relativa,precipitacao_mm,velocidade_vento,dias_sem_chuva,focos_calor_7d,distancia_foco_km,ndvi,historico_incendios,risco_incendio
-3.371742,-49.722844,TO,Caatinga,11,24.76,48.5,15.37,10.35,7,2,11.31,0.429,2,medio
-18.466444,-34.653995,SC,Cerrado,3,32.73,45.84,28.51,0.0,11,0,65.4,0.73,5,medio
-25.098217,-50.859687,PA,Caatinga,6,20.27,34.59,65.32,14.07,18,6,32.41,0.489,3,medio
-5.297728,-42.920456,BA,Amazônia,8,30.17,42.77,14.97,13.03,11,9,5.92,0.386,6,alto
1.487526,-63.277603,TO,Cerrado,4,34.78,47.1,6.5,3.26,7,1,4.93,0.673,2,alto
-24.338464,-56.342796,TO,Pantanal,1,30.79,56.33,0.17,12.26,7,4,71.36,0.289,2,medio
-13.898197,-70.992329,PE,Cerrado,2,31.5,48.38,6.85,21.14,6,3,20.01,0.286,1,alto
-6.559113,-39.524007,AM,Cerrado,6,24.14,39.17,31.05,24.99,13,4,5.19,0.546,7,medio
-0.459677,-57.224183,MG,Caatinga,3,34.34,82.78,11.64,29.93,7,3,7.87,0.568,4,medio
-18.062286,-38.210184,PR,Mata Atlântica,6,31.84,70.61,17.46,3.75,14,1,1.0,0.574,5,medio
-11.994931,-50.680594,AM,Pampa,1,21.69,52.45,7.82,20.68,2,2,19.09,0.597,4,medio
-19.339336,-61.549918,SP,Amazônia,6,29.06,76.04,55.55,5.53,12,1,1.04,0.669,2,medio
-20.530199,-66.953377,RJ,Cerrado,6,27.43,65.26,0.99,10.67,14,4,24.05,0.614,4,medio
-16.72405,-46.148504,MS,Amazônia,7,24.8,44.8,11.39,31.98,29,5,1.0,0.711,9,critico
-17.85682,-48.981846,MT,Amazônia,5,25.24,74.49,30.41,19.54,0,6,33.34,0.607,8,medio
-9.506352,-59.874386,PR,Amazônia,3,22.38,94.73,43.53,6.66,1,1,10.82,0.819,6,baixo
2.368778,-39.521903,TO,Mata Atlântica,7,37.21,31.85,11.24,20.06,13,4,63.66,0.05,5,alto
-7.444299,-43.657393,MG,Mata Atlântica,4,29.5,72.05,2.39,29.51,9,5,5.04,0.563,3,medio
0.453679,-63.769277,PA,Cerrado,1,30.42,65.98,10.78,9.21,12,3,29.15,0.138,6,alto
-24.503358,-35.434321,PE,Amazônia,1,27.9,74.16,8.43,11.22,2,7,10.03,0.48,2,medio
-24.283,-62.628421,MT,Cerrado,10,27.54,18.09,4.83,7.81,25,11,53.98,0.419,8,critico
-31.600769,-67.779767,PE,Pantanal,2,31.04,79.89,34.65,9.85,6,1,5.79,0.824,4,medio
-13.228307,-42.879583,PA,Amazônia,10,35.72,44.83,27.26,10.49,9,10,25.92,0.916,9,alto
-30.483033,-71.211411,PE,Cerrado,12,22.63,75.54,5.87,33.74,10,3,10.61,0.273,6,alto
-19.472324,-38.125527,GO,Amazônia,9,29.5,39.53,20.66,21.81,30,9,5.82,0.326,5,critico
-4.978602,-65.890929,MG,Cerrado,9,37.12,27.22,0.75,0.0,37,11,17.55,0.175,8,critico
-23.985382,-69.030484,PI,Cerrado,9,30.43,16.18,1.4,0.0,22,7,22.09,0.345,7,critico
-28.636201,-49.185818,SP,Caatinga,12,31.52,24.48,4.19,8.12,8,4,22.88,0.301,6,alto
-18.589314,-36.868472,BA,Pampa,12,27.82,69.96,34.71,19.35,2,1,41.94,0.766,4,baixo
-24.175918,-37.916592,GO,Mata Atlântica,1,30.32,26.62,59.24,3.17,6,3,44.87,0.786,2,medio
-31.725767,-50.774302,MS,Caatinga,1,31.53,58.55,10.47,12.84,9,2,25.62,0.309,4,medio
-10.831112,-57.366795,BA,Pampa,8,32.2,37.22,1.33,12.85,17,5,21.07,0.263,2,alto
-15.868104,-68.583716,PA,Pantanal,11,28.39,71.16,22.37,18.8,17,7,1.0,0.817,7,alto
-8.973957,-72.489316,SP,Cerrado,11,25.6,56.66,81.15,15.01,22,3,45.67,0.56,3,baixo
-15.775024,-52.548779,CE,Cerrado,3,20.23,28.53,20.5,8.37,9,9,14.08,0.662,9,alto
-27.63889,-57.1507,SC,Cerrado,5,26.21,52.62,25.08,17.64,4,5,1.0,0.632,5,medio
-11.500488,-34.570675,MA,Amazônia,10,25.66,43.99,21.14,4.21,21,6,49.14,0.648,9,alto
-10.180359,-47.06357,GO,Caatinga,2,21.14,29.15,18.29,16.18,3,7,61.62,0.498,3,baixo
-10.319972,-59.964488,BA,Pantanal,11,27.83,53.83,1.95,2.54,23,6,49.85,0.444,5,alto
-7.966232,-46.001214,PA,Mata Atlântica,1,25.19,72.13,16.81,12.73,14,1,17.75,0.602,4,medio
3.900213,-36.173607,TO,Cerrado,8,38.08,25.43,14.89,3.76,27,6,23.83,0.481,1,alto
0.313284,-56.717263,PI,Mata Atlântica,10,32.02,37.72,0.0,20.71,17,12,5.46,0.439,2,critico
-28.840231,-57.726425,SC,Amazônia,9,28.41,63.02,31.0,33.48,11,7,3.88,0.382,3,alto
-26.391981,-57.546561,MG,Mata Atlântica,1,30.18,78.78,4.18,9.36,2,1,17.35,0.394,2,medio
-0.239151,-41.428873,AM,Amazônia,2,29.63,95.0,21.19,15.36,14,4,42.9,0.466,10,medio
-20.307663,-63.691089,SP,Amazônia,9,27.29,60.04,22.66,13.66,17,6,6.77,0.476,8,alto
-20.008858,-48.327746,TO,Mata Atlântica,2,27.7,68.54,1.76,21.02,16,1,1.55,0.621,5,alto
-23.404668,-72.95985,BA,Pantanal,3,28.9,35.76,72.2,10.66,8,3,40.51,0.738,5,medio
3.651778,-43.356331,RS,Cerrado,11,21.3,45.8,9.67,18.22,12,3,4.56,0.666,4,alto
3.765428,-65.767104,MA,Amazônia,12,33.55,93.02,21.94,16.02,8,3,1.0,0.457,3,medio
-3.365662,-71.454866,PI,Caatinga,12,24.56,51.25,6.93,10.12,18,5,34.8,0.311,3,medio
-7.525353,-35.889551,RS,Amazônia,7,37.81,69.45,30.01,22.16,13,8,26.3,0.634,5,alto
4.08288,-59.861064,PI,Mata Atlântica,3,29.09,52.82,26.88,28.82,11,0,149.6,0.659,4,medio
-26.380653,-35.529558,RS,Cerrado,12,34.83,47.56,24.77,16.8,12,6,17.95,0.656,7,alto
-23.973354,-35.115591,SC,Mata Atlântica,10,32.3,33.92,5.42,13.4,34,8,17.75,0.3,3,alto
-15.946452,-46.893774,MG,Cerrado,10,33.47,15.3,7.09,26.24,19,9,30.45,0.079,4,critico
-28.359823,-55.364238,MS,Pampa,1,23.18,69.17,17.69,11.15,13,1,7.81,0.138,4,medio
-6.222131,-65.127715,GO,Amazônia,4,28.11,66.22,24.77,14.18,4,4,31.74,0.575,7,baixo
-29.561696,-61.741262,SP,Cerrado,9,35.21,13.93,11.59,12.09,9,11,11.75,0.581,8,critico
1.740988,-41.263115,PA,Mata Atlântica,6,20.48,64.74,16.19,20.44,10,2,4.36,0.684,0,medio
-8.121663,-58.177094,RS,Amazônia,9,30.61,28.13,11.87,7.09,18,13,7.46,0.252,7,critico
-21.779425,-42.057117,MA,Amazônia,7,27.71,41.33,31.19,15.98,16,11,34.59,0.573,4,medio
-4.998798,-39.350914,CE,Amazônia,1,26.26,67.23,9.72,4.39,14,1,3.06,0.715,7,alto
4.667728,-67.992623,TO,Caatinga,11,31.53,45.8,21.59,6.19,10,1,14.64,0.416,5,alto
4.777296,-47.188272,MG,Amazônia,2,33.69,79.51,22.42,15.88,7,3,34.5,0.648,3,medio
-17.825995,-67.055775,PA,Caatinga,7,37.62,27.11,5.89,16.07,17,8,1.83,0.301,5,critico
-11.165679,-50.903561,GO,Pantanal,11,30.56,13.7,12.65,29.19,12,4,3.34,0.627,5,alto
-9.962388,-43.172418,MT,Mata Atlântica,1,27.04,41.01,12.71,10.12,12,0,54.87,0.546,5,medio
-32.987365,-72.310175,CE,Cerrado,6,23.72,72.5,12.21,28.12,5,3,1.55,0.462,4,medio
-24.302005,-63.926824,SP,Mata Atlântica,7,28.63,30.9,8.53,6.65,10,8,10.76,0.43,2,alto
-12.658215,-64.607127,RO,Mata Atlântica,8,30.94,46.11,0.93,14.92,32,4,21.09,0.713,3,alto
-16.371081,-63.067846,AM,Pampa,2,24.49,76.74,25.35,2.92,1,2,2.23,0.53,2,baixo
-7.95665,-41.716908,PA,Amazônia,11,17.26,73.47,35.99,6.62,3,1,21.59,0.677,5,baixo
-9.262784,-58.104354,PE,Cerrado,8,30.92,19.89,7.64,9.85,24,11,33.4,0.57,6,critico
-28.382948,-65.298651,CE,Pampa,4,24.69,75.05,8.42,13.66,6,1,36.9,0.631,4,baixo
-31.359398,-66.572222,BA,Cerrado,12,31.12,38.17,42.56,26.83,18,4,17.22,0.382,2,alto
-22.43972,-65.435799,MA,Caatinga,1,31.2,68.19,9.31,20.49,13,4,27.69,0.083,5,alto
-3.344809,-64.528845,RS,Cerrado,4,29.59,36.8,0.05,11.67,9,4,5.11,0.212,5,alto
-30.775065,-59.964706,PE,Mata Atlântica,3,29.79,77.28,38.85,7.76,15,1,9.29,0.525,2,medio
-8.82526,-42.359587,PI,Amazônia,6,26.09,59.05,69.79,17.43,10,4,23.92,0.332,4,medio
-1.006524,-65.742045,PR,Cerrado,5,29.13,78.75,16.49,0.0,11,4,27.84,0.462,5,medio
-3.089189,-34.981449,TO,Cerrado,12,23.92,21.14,46.57,16.03,12,4,5.4,0.396,4,alto
-14.209717,-34.797517,MA,Caatinga,9,35.18,13.43,1.7,8.42,28,12,78.76,0.302,5,critico
-7.577151,-54.970473,RJ,Mata Atlântica,9,38.08,23.52,6.31,12.58,28,9,2.7,0.484,1,critico
-3.663526,-71.940471,AM,Mata Atlântica,12,26.76,50.23,59.98,25.12,0,1,10.13,0.497,1,medio
-29.426628,-59.089832,BA,Amazônia,10,27.76,60.04,26.3,5.25,13,8,4.07,0.435,4,alto
3.750811,-56.707322,MA,Caatinga,7,28.24,38.87,17.09,10.98,31,11,34.21,0.439,2,alto
1.403675,-44.152819,SP,Cerrado,4,32.31,32.86,14.3,11.09,22,2,3.66,0.545,4,alto
-19.305643,-70.328289,MT,Pantanal,6,28.6,72.44,35.6,21.87,5,0,58.6,0.642,6,baixo
4.118412,-68.681897,PA,Amazônia,3,24.86,68.35,55.83,19.1,5,2,65.83,0.533,8,medio
-32.528647,-54.718049,MT,Amazônia,9,34.2,27.67,19.8,12.14,31,11,36.42,0.636,7,alto
-29.433423,-37.524554,MG,Cerrado,5,31.98,58.07,52.79,9.77,7,6,24.26,0.199,6,medio
-22.680387,-54.557012,MG,Mata Atlântica,2,30.63,58.55,0.07,21.45,11,0,91.66,0.522,4,medio
-0.542832,-71.069623,PE,Mata Atlântica,6,28.19,66.62,8.38,17.55,6,1,53.69,0.821,1,baixo
-19.881521,-53.210934,AM,Caatinga,5,28.32,71.47,30.29,26.84,10,4,25.35,0.336,2,medio
-10.055773,-46.222993,PI,Pantanal,1,27.2,36.78,15.23,13.95,24,5,18.01,0.594,1,alto
-26.469758,-48.122793,AM,Mata Atlântica,12,27.84,88.99,44.15,19.47,7,1,1.76,0.745,4,medio
-0.630033,-57.247983,GO,Pantanal,6,30.72,35.9,49.47,26.97,14,2,9.24,0.662,3,alto
-26.659312,-56.209356,SP,Mata Atlântica,2,23.14,55.12,0.64,3.7,17,1,7.46,0.681,2,medio
-26.64033,-35.091015,MA,Mata Atlântica,4,22.54,63.56,2.61,14.29,13,0,42.57,0.388,3,baixo
0.75934,-49.485228,RO,Cerrado,3,24.78,28.44,10.4,27.58,7,4,1.19,0.564,8,alto
-14.421882,-57.330627,MG,Amazônia,2,31.4,95.0,32.19,18.64,4,3,8.72,0.717,3,medio
-7.131276,-54.795499,TO,Amazônia,1,27.08,83.35,14.97,7.75,5,4,40.14,0.462,6,medio
-8.672464,-61.361038,PA,Pantanal,1,26.4,33.46,7.39,22.08,10,5,34.27,0.722,6,alto
-31.321846,-59.670486,PE,Amazônia,7,28.54,53.34,18.22,19.68,12,3,10.47,0.558,4,alto
-32.768628,-69.063293,PI,Pampa,2,25.18,74.69,3.0,13.57,1,0,84.32,0.515,3,baixo
-12.138743,-64.448315,TO,Cerrado,1,35.68,43.09,5.2,18.4,12,2,6.85,0.899,4,alto
-22.681212,-57.304581,CE,Pantanal,11,31.02,63.49,22.5,18.84,16,4,40.28,0.549,6,medio
-6.253431,-72.829832,SP,Pampa,9,31.25,26.57,8.78,18.06,5,7,40.17,0.323,5,alto
-1.757164,-39.836428,AM,Amazônia,5,29.49,56.74,36.06,14.21,0,4,22.93,0.502,4,baixo
-28.762536,-52.881386,MG,Mata Atlântica,1,29.96,53.79,0.37,16.41,4,0,120.98,0.512,4,medio
-3.588328,-42.856062,GO,Caatinga,7,33.98,29.45,1.07,12.17,25,13,8.56,0.271,5,critico
-21.936519,-64.923298,PA,Caatinga,9,35.49,30.36,7.4,16.21,18,7,21.05,0.37,8,critico
-8.833721,-57.861537,BA,Pampa,8,24.31,49.88,3.39,17.41,24,6,10.74,0.679,9,alto
-25.050952,-71.050818,MG,Amazônia,8,32.79,49.28,19.95,0.0,10,6,1.0,0.519,9,alto
-15.587083,-42.527395,MT,Cerrado,1,30.3,64.61,45.11,11.08,4,3,10.31,0.554,3,medio
1.942179,-34.263054,AM,Amazônia,7,25.62,21.13,25.12,21.26,7,11,62.62,0.252,5,alto
-22.265149,-59.231035,MG,Cerrado,3,29.91,66.3,37.89,4.98,13,3,1.43,0.531,5,medio
