variavel,importancia_media_abs_shap
umidade_relativa,0.06402138926179402
precipitacao_mm,0.05690729305752251
dias_sem_chuva,0.05231914157482743
temperatura_media,0.0477029557035074
focos_calor_7d,0.04664733888144334
distancia_foco_km,0.04198427363423524
mes,0.03288299253228654
ndvi,0.031499377491904436
historico_incendios,0.026218970526048716
velocidade_vento,0.013624401973648087
longitude,0.006879287356574428
latitude,0.0067371401059818144
bioma=Cerrado,0.003545265538128615
bioma=Amazônia,0.002593083482599785
estado=SP,0.0019404326138797044
estado=MS,0.00167223804938165
bioma=Mata Atlântica,0.001492744173619485
bioma=Caatinga,0.0012360901687826383
bioma=Pampa,0.0010819718760663166
bioma=Pantanal,0.0008381765550671915
estado=RO,0.0008285495387724816
estado=CE,0.0005377335682188467
estado=MG,0.0004604621939367582
estado=PI,0.0004267846042197285
estado=BA,0.0004180876085142673
estado=PE,0.00032571083081509917
estado=MA,0.0003133222979081776
estado=RS,0.0002742771688174003
estado=TO,0.00019215539385554408
estado=RJ,0.00013956823309825458
estado=PA,0.00012184207915399327
estado=PR,0.00011097964928143182
estado=AM,6.623537134108054e-05
estado=SC,1.6322773048965245e-05
estado=MT,7.468125465114571e-06
estado=GO,0.0
